repository_name,release_id,tag_name_clean,cycle_end,cycle_start,cycle_length_days
kubernetes/kubernetes,57504045,1.23.2,2022-01-19 21:11:06+00:00,2022-01-19 21:07:55+00:00,0.002210648148148148
kubernetes/kubernetes,57516071,1.22.6,2022-01-19 23:57:58+00:00,2022-01-19 21:11:06+00:00,0.11587962962962962
kubernetes/kubernetes,57972287,1.23.3,2022-01-26 00:05:03+00:00,2022-01-19 23:57:58+00:00,6.004918981481482
kubernetes/kubernetes,59818995,1.21.10,2022-02-17 16:07:50+00:00,2022-01-26 00:05:03+00:00,22.668599537037036
kubernetes/kubernetes,59820624,1.22.7,2022-02-17 16:17:28+00:00,2022-02-17 16:07:50+00:00,0.006689814814814815
kubernetes/kubernetes,59821299,1.23.4,2022-02-17 16:24:31+00:00,2022-02-17 16:17:28+00:00,0.004895833333333334
kubernetes/kubernetes,62049233,1.21.11,2022-03-16 22:28:05+00:00,2022-02-17 16:24:31+00:00,27.252476851851853
kubernetes/kubernetes,62049706,1.22.8,2022-03-16 22:38:27+00:00,2022-03-16 22:28:05+00:00,0.007199074074074074
kubernetes/kubernetes,62050650,1.23.5,2022-03-16 22:48:49+00:00,2022-03-16 22:38:27+00:00,0.007199074074074074
kubernetes/kubernetes,64863991,1.21.12,2022-04-20 16:03:04+00:00,2022-03-16 22:48:49+00:00,34.71822916666667
kubernetes/kubernetes,64869495,1.22.9,2022-04-20 17:09:29+00:00,2022-04-20 16:03:04+00:00,0.04612268518518518
kubernetes/kubernetes,64881287,1.23.6,2022-04-20 19:17:02+00:00,2022-04-20 17:09:29+00:00,0.08857638888888889
kubernetes/kubernetes,65962790,1.24.0,2022-05-03 20:43:53+00:00,2022-04-20 19:17:02+00:00,13.0603125
kubernetes/kubernetes,67749918,1.21.13,2022-05-25 00:32:18+00:00,2022-05-03 20:43:53+00:00,21.158622685185186
kubernetes/kubernetes,67833798,1.22.10,2022-05-25 19:07:13+00:00,2022-05-25 00:32:18+00:00,0.7742476851851852
kubernetes/kubernetes,67872434,1.23.7,2022-05-25 21:48:57+00:00,2022-05-25 19:07:13+00:00,0.11231481481481481
kubernetes/kubernetes,67885314,1.24.1,2022-05-26 03:31:07+00:00,2022-05-25 21:48:57+00:00,0.23761574074074074
kubernetes/kubernetes,69652729,1.22.11,2022-06-16 19:43:53+00:00,2022-05-26 03:31:07+00:00,21.675532407407406
kubernetes/kubernetes,69661314,1.23.8,2022-06-16 20:21:05+00:00,2022-06-16 19:43:53+00:00,0.025833333333333333
kubernetes/kubernetes,69680319,1.21.14,2022-06-17 03:39:25+00:00,2022-06-16 20:21:05+00:00,0.30439814814814814
kubernetes/kubernetes,69680447,1.24.2,2022-06-17 03:43:42+00:00,2022-06-17 03:39:25+00:00,0.0029745370370370373
kubernetes/kubernetes,71926822,1.23.9,2022-07-13 17:43:08+00:00,2022-06-17 03:43:42+00:00,26.582939814814814
kubernetes/kubernetes,71933950,1.22.12,2022-07-13 19:13:58+00:00,2022-07-13 17:43:08+00:00,0.0630787037037037
kubernetes/kubernetes,71937344,1.24.3,2022-07-13 19:58:07+00:00,2022-07-13 19:13:58+00:00,0.030659722222222224
kubernetes/kubernetes,74666225,1.22.13,2022-08-17 21:19:19+00:00,2022-07-13 19:58:07+00:00,35.05638888888889
kubernetes/kubernetes,74669757,1.23.10,2022-08-17 22:20:32+00:00,2022-08-17 21:19:19+00:00,0.04251157407407408
kubernetes/kubernetes,74671731,1.24.4,2022-08-17 23:07:59+00:00,2022-08-17 22:20:32+00:00,0.03295138888888889
kubernetes/kubernetes,75156399,1.25.0,2022-08-23 21:27:47+00:00,2022-08-17 23:07:59+00:00,5.930416666666667
kubernetes/kubernetes,77194312,1.24.5,2022-09-14 20:44:58+00:00,2022-08-23 21:27:47+00:00,21.970266203703705
kubernetes/kubernetes,77213823,1.23.11,2022-09-15 00:31:43+00:00,2022-09-14 20:44:58+00:00,0.15746527777777777
kubernetes/kubernetes,77303540,1.25.1,2022-09-15 14:42:21+00:00,2022-09-15 00:31:43+00:00,0.5907175925925926
kubernetes/kubernetes,77303985,1.22.14,2022-09-15 14:46:10+00:00,2022-09-15 14:42:21+00:00,0.002650462962962963
kubernetes/kubernetes,77795569,1.24.6,2022-09-21 16:50:49+00:00,2022-09-15 14:46:10+00:00,6.0865625
kubernetes/kubernetes,77802321,1.23.12,2022-09-21 18:09:54+00:00,2022-09-21 16:50:49+00:00,0.05491898148148148
kubernetes/kubernetes,77807233,1.22.15,2022-09-21 19:04:05+00:00,2022-09-21 18:09:54+00:00,0.037627314814814815
kubernetes/kubernetes,77813556,1.25.2,2022-09-21 20:18:10+00:00,2022-09-21 19:04:05+00:00,0.05144675925925926
kubernetes/kubernetes,79809601,1.25.3,2022-10-13 17:16:00+00:00,2022-09-21 20:18:10+00:00,21.87349537037037
kubernetes/kubernetes,79809812,1.23.13,2022-10-13 17:18:22+00:00,2022-10-13 17:16:00+00:00,0.0016435185185185185
kubernetes/kubernetes,79809886,1.24.7,2022-10-13 17:19:17+00:00,2022-10-13 17:18:22+00:00,0.0006365740740740741
kubernetes/kubernetes,82710116,1.25.4,2022-11-10 17:02:29+00:00,2022-10-13 17:19:17+00:00,27.988333333333333
kubernetes/kubernetes,82714136,1.24.8,2022-11-10 17:40:53+00:00,2022-11-10 17:02:29+00:00,0.02666666666666667
kubernetes/kubernetes,82714305,1.22.16,2022-11-10 17:42:36+00:00,2022-11-10 17:40:53+00:00,0.0011921296296296296
kubernetes/kubernetes,82714385,1.23.14,2022-11-10 17:43:29+00:00,2022-11-10 17:42:36+00:00,0.0006134259259259259
kubernetes/kubernetes,85466097,1.25.5,2022-12-08 17:40:24+00:00,2022-11-10 17:43:29+00:00,27.997858796296295
kubernetes/kubernetes,85470423,1.24.9,2022-12-08 18:14:25+00:00,2022-12-08 17:40:24+00:00,0.023622685185185184
kubernetes/kubernetes,85475750,1.23.15,2022-12-08 19:10:18+00:00,2022-12-08 18:14:25+00:00,0.03880787037037037
kubernetes/kubernetes,85487731,1.22.17,2022-12-08 21:24:13+00:00,2022-12-08 19:10:18+00:00,0.09299768518518518
kubernetes/kubernetes,85515657,1.26.0,2022-12-09 04:00:59+00:00,2022-12-08 21:24:13+00:00,0.2755324074074074
kubernetes/kubernetes,89461411,1.26.1,2023-01-18 21:14:47+00:00,2022-12-09 04:00:59+00:00,40.71791666666667
kubernetes/kubernetes,89465459,1.23.16,2023-01-18 21:50:14+00:00,2023-01-18 21:14:47+00:00,0.024618055555555556
kubernetes/kubernetes,89478326,1.25.6,2023-01-19 00:59:55+00:00,2023-01-18 21:50:14+00:00,0.13172453703703704
kubernetes/kubernetes,89577865,1.24.10,2023-01-19 17:16:48+00:00,2023-01-19 00:59:55+00:00,0.6783912037037036
kubernetes/kubernetes,93991288,1.24.11,2023-02-28 20:34:33+00:00,2023-01-19 17:16:48+00:00,40.13732638888889
kubernetes/kubernetes,94000681,1.23.17,2023-02-28 21:20:44+00:00,2023-02-28 20:34:33+00:00,0.03207175925925926
kubernetes/kubernetes,94006526,1.25.7,2023-02-28 22:05:52+00:00,2023-02-28 21:20:44+00:00,0.031342592592592596
kubernetes/kubernetes,94012442,1.26.2,2023-02-28 23:09:55+00:00,2023-02-28 22:05:52+00:00,0.04447916666666667
kubernetes/kubernetes,96018281,1.24.12,2023-03-17 17:23:16+00:00,2023-02-28 23:09:55+00:00,16.759270833333332
kubernetes/kubernetes,96021741,1.25.8,2023-03-17 18:00:45+00:00,2023-03-17 17:23:16+00:00,0.026030092592592594
kubernetes/kubernetes,96029525,1.26.3,2023-03-17 19:20:24+00:00,2023-03-17 18:00:45+00:00,0.0553125
kubernetes/kubernetes,98968195,1.27.0,2023-04-11 19:27:46+00:00,2023-03-17 19:20:24+00:00,25.00511574074074
kubernetes/kubernetes,99183057,1.26.4,2023-04-12 17:55:54+00:00,2023-04-11 19:27:46+00:00,0.9362037037037036
kubernetes/kubernetes,99187893,1.25.9,2023-04-12 18:38:00+00:00,2023-04-12 17:55:54+00:00,0.029236111111111112
kubernetes/kubernetes,99192787,1.24.13,2023-04-12 19:20:27+00:00,2023-04-12 18:38:00+00:00,0.029479166666666667
kubernetes/kubernetes,99571135,1.27.1,2023-04-14 16:21:18+00:00,2023-04-12 19:20:27+00:00,1.8755902777777778
kubernetes/kubernetes,103386457,1.26.5,2023-05-17 21:55:19+00:00,2023-04-14 16:21:18+00:00,33.23195601851852
kubernetes/kubernetes,103386495,1.27.2,2023-05-17 21:55:39+00:00,2023-05-17 21:55:19+00:00,0.0002314814814814815
kubernetes/kubernetes,103393064,1.24.14,2023-05-17 23:53:16+00:00,2023-05-17 21:55:39+00:00,0.08167824074074075
kubernetes/kubernetes,103395497,1.25.10,2023-05-18 00:47:41+00:00,2023-05-17 23:53:16+00:00,0.03778935185185185
kubernetes/kubernetes,108620995,1.24.15,2023-06-14 18:12:24+00:00,2023-05-18 00:47:41+00:00,27.725497685185186
kubernetes/kubernetes,108627351,1.25.11,2023-06-14 19:06:18+00:00,2023-06-14 18:12:24+00:00,0.03743055555555556
kubernetes/kubernetes,108637771,1.26.6,2023-06-14 20:31:05+00:00,2023-06-14 19:06:18+00:00,0.05887731481481481
kubernetes/kubernetes,108644552,1.27.3,2023-06-14 21:36:39+00:00,2023-06-14 20:31:05+00:00,0.04553240740740741
kubernetes/kubernetes,112862724,1.27.4,2023-07-19 19:02:18+00:00,2023-06-14 21:36:39+00:00,34.8928125
kubernetes/kubernetes,112870721,1.26.7,2023-07-19 19:54:38+00:00,2023-07-19 19:02:18+00:00,0.03634259259259259
kubernetes/kubernetes,112875833,1.25.12,2023-07-19 20:39:27+00:00,2023-07-19 19:54:38+00:00,0.031122685185185184
kubernetes/kubernetes,112879656,1.24.16,2023-07-19 21:20:11+00:00,2023-07-19 20:39:27+00:00,0.028287037037037038
kubernetes/kubernetes,117338250,1.28.0,2023-08-15 17:00:03+00:00,2023-07-19 21:20:11+00:00,26.819351851851852
kubernetes/kubernetes,118493643,1.24.17,2023-08-24 04:04:54+00:00,2023-08-15 17:00:03+00:00,8.461701388888889
kubernetes/kubernetes,118493759,1.25.13,2023-08-24 04:07:13+00:00,2023-08-24 04:04:54+00:00,0.0016087962962962963
kubernetes/kubernetes,118498412,1.26.8,2023-08-24 05:35:47+00:00,2023-08-24 04:07:13+00:00,0.06150462962962963
kubernetes/kubernetes,118524649,1.27.5,2023-08-24 09:28:07+00:00,2023-08-24 05:35:47+00:00,0.1613425925925926
kubernetes/kubernetes,118562913,1.28.1,2023-08-24 13:58:23+00:00,2023-08-24 09:28:07+00:00,0.18768518518518518
kubernetes/kubernetes,121009496,1.28.2,2023-09-13 18:06:30+00:00,2023-08-24 13:58:23+00:00,20.172303240740742
kubernetes/kubernetes,121011208,1.27.6,2023-09-13 18:20:37+00:00,2023-09-13 18:06:30+00:00,0.00980324074074074
kubernetes/kubernetes,121027792,1.26.9,2023-09-13 20:17:17+00:00,2023-09-13 18:20:37+00:00,0.08101851851851852
kubernetes/kubernetes,121033600,1.25.14,2023-09-13 21:03:07+00:00,2023-09-13 20:17:17+00:00,0.031828703703703706
kubernetes/kubernetes,125627999,1.28.3,2023-10-18 14:36:22+00:00,2023-09-13 21:03:07+00:00,34.73142361111111
kubernetes/kubernetes,125636180,1.27.7,2023-10-18 15:16:00+00:00,2023-10-18 14:36:22+00:00,0.027523148148148147
kubernetes/kubernetes,125643604,1.26.10,2023-10-18 15:47:07+00:00,2023-10-18 15:16:00+00:00,0.021608796296296296
kubernetes/kubernetes,125649052,1.25.15,2023-10-18 16:20:06+00:00,2023-10-18 15:47:07+00:00,0.02290509259259259
kubernetes/kubernetes,129613920,1.28.4,2023-11-15 19:43:03+00:00,2023-10-18 16:20:06+00:00,28.1409375
kubernetes/kubernetes,129616500,1.27.8,2023-11-15 20:05:57+00:00,2023-11-15 19:43:03+00:00,0.015902777777777776
kubernetes/kubernetes,129622209,1.26.11,2023-11-15 20:43:58+00:00,2023-11-15 20:05:57+00:00,0.026400462962962962
kubernetes/kubernetes,129714744,1.25.16,2023-11-16 11:30:38+00:00,2023-11-15 20:43:58+00:00,0.6157407407407407
kubernetes/kubernetes,133777858,1.29.0,2023-12-13 16:34:20+00:00,2023-11-16 11:30:38+00:00,27.21090277777778
kubernetes/kubernetes,134607215,1.27.9,2023-12-20 11:14:33+00:00,2023-12-13 16:34:20+00:00,6.77792824074074
kubernetes/kubernetes,134624427,1.28.5,2023-12-20 13:23:37+00:00,2023-12-20 11:14:33+00:00,0.08962962962962963
kubernetes/kubernetes,134624945,1.26.12,2023-12-20 13:27:00+00:00,2023-12-20 13:23:37+00:00,0.002349537037037037
kubernetes/kubernetes,137446153,1.29.1,2024-01-17 19:37:29+00:00,2023-12-20 13:27:00+00:00,28.25728009259259
kubernetes/kubernetes,137446434,1.27.10,2024-01-17 19:40:02+00:00,2024-01-17 19:37:29+00:00,0.0017708333333333332
kubernetes/kubernetes,137446444,1.28.6,2024-01-17 19:40:09+00:00,2024-01-17 19:40:02+00:00,8.101851851851852e-05
kubernetes/kubernetes,137446709,1.26.13,2024-01-17 19:42:17+00:00,2024-01-17 19:40:09+00:00,0.0014814814814814814
kubernetes/kubernetes,142006393,1.28.7,2024-02-14 15:49:40+00:00,2024-01-17 19:42:17+00:00,27.83846064814815
kubernetes/kubernetes,142007294,1.27.11,2024-02-14 15:51:57+00:00,2024-02-14 15:49:40+00:00,0.001585648148148148
kubernetes/kubernetes,142009935,1.26.14,2024-02-14 16:07:53+00:00,2024-02-14 15:51:57+00:00,0.011064814814814816
kubernetes/kubernetes,142028094,1.29.2,2024-02-14 18:01:57+00:00,2024-02-14 16:07:53+00:00,0.07921296296296296
kubernetes/kubernetes,146625039,1.26.15,2024-03-14 16:24:57+00:00,2024-02-14 18:01:57+00:00,28.93263888888889
kubernetes/kubernetes,146834793,1.28.8,2024-03-15 18:53:33+00:00,2024-03-14 16:24:57+00:00,1.1031944444444444
kubernetes/kubernetes,146839948,1.27.12,2024-03-15 19:26:37+00:00,2024-03-15 18:53:33+00:00,0.022962962962962963
kubernetes/kubernetes,146845361,1.29.3,2024-03-15 20:15:39+00:00,2024-03-15 19:26:37+00:00,0.03405092592592593
kubernetes/kubernetes,151435050,1.27.13,2024-04-16 19:33:16+00:00,2024-03-15 20:15:39+00:00,31.97056712962963
kubernetes/kubernetes,151445084,1.28.9,2024-04-16 20:44:54+00:00,2024-04-16 19:33:16+00:00,0.04974537037037037
kubernetes/kubernetes,151451712,1.29.4,2024-04-16 21:41:11+00:00,2024-04-16 20:44:54+00:00,0.03908564814814815
kubernetes/kubernetes,151633234,1.30.0,2024-04-17 20:45:16+00:00,2024-04-16 21:41:11+00:00,0.9611689814814814
kubernetes/kubernetes,155777868,1.28.10,2024-05-14 21:56:56+00:00,2024-04-17 20:45:16+00:00,27.04976851851852
kubernetes/kubernetes,155813961,1.29.5,2024-05-15 06:41:30+00:00,2024-05-14 21:56:56+00:00,0.3642824074074074
kubernetes/kubernetes,155816403,1.30.1,2024-05-15 07:02:59+00:00,2024-05-15 06:41:30+00:00,0.014918981481481481
kubernetes/kubernetes,155824760,1.27.14,2024-05-15 08:02:18+00:00,2024-05-15 07:02:59+00:00,0.04119212962962963
