repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count,split
kubernetes/kubernetes,36351013,,False,1,0.0,0.0,,,,0.0,0.0,,,2072,818,2021-01-13 18:49:29+00:00,148.0,1.0,112.25,True,,0,train
kubernetes/kubernetes,36351486,0.0064236111111111,False,2,0.0,0.0,,,,0.0,0.0,,,2073,819,2021-01-13 18:58:44+00:00,147.0,1.0,112.25,True,,0,train
kubernetes/kubernetes,36351831,0.0056018518518518,False,3,0.0,0.0,,,,0.0,0.0,,,2073,819,2021-01-13 19:06:48+00:00,147.0,1.0,112.25,True,,0,train
kubernetes/kubernetes,36352135,0.0050462962962962,False,4,0.0,0.0,,,,0.0,0.0,,,2073,819,2021-01-13 19:14:04+00:00,147.0,1.0,112.25,True,,0,train
kubernetes/kubernetes,38191304,35.05335648148148,False,8,643.0,806.0,0.6761786600496278,433.1250514780836,138.2736111111111,188.0,114.0,0.6063829787234043,0.0326594090202177,2051,808,2021-02-17 20:30:54+00:00,170.0,1.0,112.25,True,147.2,5,train
kubernetes/kubernetes,38191357,0.0006944444444444,False,9,0.0,0.0,,,,0.0,0.0,,,2051,808,2021-02-17 20:31:54+00:00,170.0,1.0,112.25,True,147.2,5,train
kubernetes/kubernetes,38191467,0.0015393518518518,False,10,0.0,0.0,,,,0.0,0.0,,,2051,808,2021-02-17 20:34:07+00:00,170.0,1.0,112.25,True,147.2,5,train
kubernetes/kubernetes,38251599,0.9625347222222222,False,11,29.0,37.0,0.7837837837837838,335.8632183908046,293.3513888888889,22.0,7.0,0.3181818181818182,0.1034482758620689,2051,808,2021-02-18 19:40:10+00:00,167.0,1.0,112.25,True,147.2,5,train
kubernetes/kubernetes,40026670,27.98804398148148,False,14,782.0,852.0,0.676056338028169,631.487801408179,137.39138888888888,210.0,92.0,0.4380952380952381,0.0549872122762148,2043,816,2021-03-18 19:22:57+00:00,120.0,1.0,112.25,True,147.85714285714286,7,train
kubernetes/kubernetes,40026943,0.0039236111111111,False,15,0.0,0.0,,,,0.0,0.0,,,2043,816,2021-03-18 19:28:36+00:00,120.0,1.0,112.25,True,147.85714285714286,7,train
kubernetes/kubernetes,40027219,0.0038541666666666,False,16,0.0,0.0,,,,0.0,0.0,,,2043,816,2021-03-18 19:34:09+00:00,120.0,1.0,112.25,True,147.85714285714286,7,train
kubernetes/kubernetes,41140171,20.931944444444444,False,18,217.0,389.0,0.5501285347043702,687.7780815160955,238.20902777777778,109.0,31.0,0.2844036697247706,0.0552995391705069,2024,824,2021-04-08 17:56:09+00:00,143.0,1.0,112.25,True,154.15384615384616,13,train
kubernetes/kubernetes,41456484,6.467094907407407,False,19,105.0,161.0,0.6024844720496895,563.9239690721648,203.3975,62.0,13.0,0.2096774193548387,0.0952380952380952,1993,804,2021-04-15 05:08:46+00:00,154.0,1.0,112.25,True,154.15384615384616,13,train
kubernetes/kubernetes,41456496,0.0005671296296296,False,20,0.0,0.0,,,,0.0,0.0,,,1993,804,2021-04-15 05:09:35+00:00,154.0,1.0,112.25,True,154.15384615384616,13,train
kubernetes/kubernetes,41457093,0.0160879629629629,False,21,0.0,0.0,,,,0.0,0.0,,,1993,804,2021-04-15 05:32:45+00:00,154.0,1.0,112.25,True,154.15384615384616,13,train
kubernetes/kubernetes,42867664,27.61726851851852,False,23,384.0,594.0,0.6666666666666666,580.6520209034793,157.52375,180.0,62.0,0.3444444444444444,0.0338541666666666,1992,817,2021-05-12 20:21:37+00:00,146.0,1.0,112.25,True,146.38888888888889,18,train
kubernetes/kubernetes,42868108,0.0062152777777777,False,24,0.0,0.0,,,,0.0,0.0,,,1991,816,2021-05-12 20:30:34+00:00,146.0,1.0,112.25,True,146.38888888888889,18,train
kubernetes/kubernetes,42868402,0.0046643518518518,False,25,0.0,0.0,,,,0.0,0.0,,,1991,816,2021-05-12 20:37:17+00:00,146.0,1.0,112.25,True,146.38888888888889,18,train
kubernetes/kubernetes,42868425,0.0004282407407407,False,26,0.0,0.0,,,,0.0,0.0,,,1991,816,2021-05-12 20:37:54+00:00,146.0,1.0,112.25,True,146.38888888888889,18,train
kubernetes/kubernetes,44743553,34.86159722222222,False,29,509.0,663.0,0.669683257918552,495.31941191191186,103.67902777777778,173.0,52.0,0.3005780346820809,0.0451866404715127,2012,842,2021-06-16 17:18:36+00:00,120.0,1.0,112.25,True,147.0,26,train
kubernetes/kubernetes,44821176,1.0541203703703703,False,30,20.0,25.0,0.52,577.8611538461539,33.09777777777778,18.0,5.0,0.2777777777777778,0.1,2006,842,2021-06-17 18:36:32+00:00,121.0,1.0,112.25,True,147.0,26,train
kubernetes/kubernetes,44821813,0.0066319444444444,False,31,0.0,0.0,,,,0.0,0.0,,,2006,842,2021-06-17 18:46:05+00:00,121.0,1.0,112.25,True,147.0,26,train
kubernetes/kubernetes,44822353,0.0072106481481481,False,32,1.0,0.0,,,,1.0,0.0,0.0,1.0,2007,843,2021-06-17 18:56:28+00:00,120.0,1.0,112.25,True,147.0,26,train
kubernetes/kubernetes,46289135,28.17701388888889,False,36,498.0,539.0,0.640074211502783,644.3409959742352,129.5,165.0,48.0,0.2909090909090909,0.110441767068273,1845,782,2021-07-15 23:11:22+00:00,112.0,0.0,112.25,True,147.03571428571428,28,train
kubernetes/kubernetes,46289180,0.0011458333333333,False,37,1.0,0.0,,,,1.0,0.0,0.0,1.0,1845,782,2021-07-15 23:13:01+00:00,112.0,0.0,112.25,True,147.03571428571428,28,train
kubernetes/kubernetes,46289230,0.0010069444444444,False,38,1.0,0.0,,,,1.0,0.0,0.0,1.0,1845,782,2021-07-15 23:14:28+00:00,112.0,0.0,112.25,True,147.03571428571428,28,train
kubernetes/kubernetes,47318163,19.850324074074077,False,40,179.0,282.0,0.624113475177305,454.6968781565657,230.6184722222222,100.0,24.0,0.24,0.0893854748603352,1858,790,2021-08-04 19:38:56+00:00,122.0,1.0,112.25,True,143.03030303030303,33,train
kubernetes/kubernetes,47708237,7.124351851851852,False,41,98.0,127.0,0.7401574803149606,517.9933983451537,59.18888888888889,55.0,6.0,0.109090909090909,0.1326530612244898,1849,793,2021-08-11 22:38:00+00:00,109.0,0.0,112.25,True,141.76470588235293,34,train
kubernetes/kubernetes,47708400,0.0038194444444444,False,42,1.0,0.0,,,,1.0,0.0,0.0,1.0,1849,793,2021-08-11 22:43:30+00:00,109.0,0.0,112.25,True,141.76470588235293,34,train
kubernetes/kubernetes,47708498,0.002037037037037,False,43,1.0,0.0,,,,1.0,0.0,0.0,1.0,1849,793,2021-08-11 22:46:26+00:00,109.0,0.0,112.25,True,141.76470588235293,34,train
kubernetes/kubernetes,48132309,7.789722222222222,False,45,82.0,97.0,0.6288659793814433,495.156179417122,96.00138888888888,43.0,4.0,0.0930232558139534,0.1097560975609756,1842,795,2021-08-19 17:43:38+00:00,112.0,0.0,112.25,True,138.76315789473685,38,train
kubernetes/kubernetes,49630995,27.12605324074074,False,47,336.0,406.0,0.687192118226601,721.063169056153,200.49333333333334,127.0,33.0,0.2598425196850393,0.1041666666666666,1846,800,2021-09-15 20:45:09+00:00,117.0,1.0,112.25,True,135.65116279069767,43,train
kubernetes/kubernetes,49632055,0.0139583333333333,False,48,2.0,1.0,1.0,4.311388888888889,4.311388888888889,2.0,0.0,0.0,0.5,1847,801,2021-09-15 21:05:15+00:00,116.0,1.0,112.25,True,135.65116279069767,43,train
kubernetes/kubernetes,49636436,0.0707175925925926,False,49,5.0,4.0,1.0,386.8746527777778,27.59375,3.0,0.0,0.0,0.6,1847,801,2021-09-15 22:47:05+00:00,116.0,1.0,112.25,True,135.65116279069767,43,train
kubernetes/kubernetes,49638691,0.0365277777777777,False,50,1.0,0.0,,,,1.0,0.0,0.0,1.0,1848,801,2021-09-15 23:39:41+00:00,116.0,1.0,112.25,True,135.65116279069767,43,train
