repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count,split,had_commit_activity,had_pr_activity,had_contributor_activity,has_prior_release_history,has_prior_release,open_bugs_at_release_repo_z,prior_releases_avg_bugs_repo_z,repo_kubernetes/kubernetes,repo_microsoft/vscode
kubernetes/kubernetes,36351013,0.0461226851851851,0,1,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2072,818,2021-01-13 18:49:29+00:00,148.0,1.0,112.25,True,105.05649717514125,0,train,0,0,0,0,0,0.814708975191005,-0.8077434320015782,1,0
kubernetes/kubernetes,36351486,0.0064236111111111,0,2,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2073,819,2021-01-13 18:58:44+00:00,147.0,1.0,112.25,True,105.05649717514125,0,train,0,0,0,0,1,0.8328716235499555,-0.8077434320015782,1,0
kubernetes/kubernetes,36351831,0.0056018518518518,0,3,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2073,819,2021-01-13 19:06:48+00:00,147.0,1.0,112.25,True,105.05649717514125,0,train,0,0,0,0,1,0.8328716235499555,-0.8077434320015782,1,0
kubernetes/kubernetes,36352135,0.0050462962962962,0,4,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2073,819,2021-01-13 19:14:04+00:00,147.0,1.0,112.25,True,105.05649717514125,0,train,0,0,0,0,1,0.8328716235499555,-0.8077434320015782,1,0
kubernetes/kubernetes,38191304,35.05335648148148,0,8,643.0,806.0,0.6761786600496278,433.1250514780836,138.2736111111111,188.0,114.0,0.6063829787234043,0.0326594090202177,2051,808,2021-02-17 20:30:54+00:00,170.0,1.0,112.25,True,147.2,5,train,1,1,1,1,1,0.6330824916015007,1.8002259065535415,1,0
kubernetes/kubernetes,38191357,0.0006944444444444,0,9,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2051,808,2021-02-17 20:31:54+00:00,170.0,1.0,112.25,True,147.2,5,train,0,0,0,1,1,0.6330824916015007,1.8002259065535415,1,0
kubernetes/kubernetes,38191467,0.0015393518518518,0,10,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2051,808,2021-02-17 20:34:07+00:00,170.0,1.0,112.25,True,147.2,5,train,0,0,0,1,1,0.6330824916015007,1.8002259065535415,1,0
kubernetes/kubernetes,38251599,0.9625347222222222,0,11,29.0,37.0,0.7837837837837838,335.8632183908046,293.3513888888889,22.0,7.0,0.3181818181818182,0.1034482758620689,2051,808,2021-02-18 19:40:10+00:00,167.0,1.0,112.25,True,147.2,5,train,1,1,1,1,1,0.6330824916015007,1.8002259065535415,1,0
kubernetes/kubernetes,40026670,27.98804398148148,0,14,782.0,852.0,0.676056338028169,631.487801408179,137.39138888888888,210.0,92.0,0.4380952380952381,0.0549872122762148,2043,816,2021-03-18 19:22:57+00:00,120.0,1.0,112.25,True,147.85714285714286,7,train,1,1,1,1,1,0.7783836784731041,1.8408919240319987,1,0
kubernetes/kubernetes,40026943,0.0039236111111111,0,15,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2043,816,2021-03-18 19:28:36+00:00,120.0,1.0,112.25,True,147.85714285714286,7,train,0,0,0,1,1,0.7783836784731041,1.8408919240319987,1,0
kubernetes/kubernetes,40027219,0.0038541666666666,0,16,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,2043,816,2021-03-18 19:34:09+00:00,120.0,1.0,112.25,True,147.85714285714286,7,train,0,0,0,1,1,0.7783836784731041,1.8408919240319987,1,0
kubernetes/kubernetes,41140171,20.931944444444444,0,18,217.0,389.0,0.5501285347043702,687.7780815160955,238.20902777777775,109.0,31.0,0.2844036697247706,0.0552995391705069,2024,824,2021-04-08 17:56:09+00:00,143.0,1.0,112.25,True,154.15384615384616,13,train,1,1,1,1,1,0.9236848653447076,2.230551255389114,1,0
kubernetes/kubernetes,41456484,6.467094907407407,0,19,105.0,161.0,0.6024844720496895,563.9239690721648,203.3975,62.0,13.0,0.2096774193548387,0.0952380952380952,1993,804,2021-04-15 05:08:46+00:00,154.0,1.0,112.25,True,154.15384615384616,13,train,1,1,1,1,1,0.5604318981656988,2.230551255389114,1,0
kubernetes/kubernetes,41456496,0.0005671296296296,0,20,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1993,804,2021-04-15 05:09:35+00:00,154.0,1.0,112.25,True,154.15384615384616,13,train,0,0,0,1,1,0.5604318981656988,2.230551255389114,1,0
kubernetes/kubernetes,41457093,0.0160879629629629,0,21,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1993,804,2021-04-15 05:32:45+00:00,154.0,1.0,112.25,True,154.15384615384616,13,train,0,0,0,1,1,0.5604318981656988,2.230551255389114,1,0
kubernetes/kubernetes,42867664,27.61726851851852,0,23,384.0,594.0,0.6666666666666666,580.6520209034793,157.52375,180.0,62.0,0.3444444444444444,0.0338541666666666,1992,817,2021-05-12 20:21:37+00:00,146.0,1.0,112.25,True,146.38888888888889,18,train,1,1,1,1,1,0.7965463268320546,1.7500318608253025,1,0
