repository_name,release_id,tag_name_clean,cycle_end,cycle_start,cycle_length_days
apache/airflow,37768119,2.0.1,2021-02-08 22:50:02+00:00,,
apache/airflow,39957389,1.10.15,2021-03-17 17:29:35+00:00,2021-02-08 22:50:02+00:00,36.77746527777778
apache/airflow,41671752,2.0.2,2021-04-19 21:11:50+00:00,2021-03-17 17:29:35+00:00,33.15434027777778
apache/airflow,43255616,helm-chart/1.0.0,2021-05-20 01:22:06+00:00,2021-04-19 21:11:50+00:00,30.173796296296295
apache/airflow,45275500,upgrade-check/1.4.0,2021-06-26 14:38:47+00:00,2021-05-20 01:22:06+00:00,37.55325231481481
apache/airflow,45643358,2.1.1,2021-07-02 20:12:21+00:00,2021-06-26 14:38:47+00:00,6.231643518518519
apache/airflow,46212130,2.1.2,2021-07-14 20:14:52+00:00,2021-07-02 20:12:21+00:00,12.001747685185185
apache/airflow,46932862,helm-chart/1.1.0,2021-07-28 20:37:11+00:00,2021-07-14 20:14:52+00:00,14.015497685185185
apache/airflow,49398510,2.1.3,2021-09-11 21:53:56+00:00,2021-07-28 20:37:11+00:00,45.05329861111111
apache/airflow,49802204,2.1.4,2021-09-18 22:00:13+00:00,2021-09-11 21:53:56+00:00,7.004363425925926
apache/airflow,50419478,helm-chart/1.2.0,2021-09-28 18:42:52+00:00,2021-09-18 22:00:13+00:00,9.862951388888888
apache/airflow,51158476,2.2.0,2021-10-11 17:48:06+00:00,2021-09-28 18:42:52+00:00,12.961967592592593
apache/airflow,52360236,2.2.1,2021-10-30 05:32:00+00:00,2021-10-11 17:48:06+00:00,18.488819444444445
apache/airflow,53009948,helm-chart/1.3.0,2021-11-09 14:50:35+00:00,2021-10-30 05:32:00+00:00,10.387905092592593
apache/airflow,53412307,2.2.2,2021-11-15 18:37:15+00:00,2021-11-09 14:50:35+00:00,6.157407407407407
apache/airflow,55767051,2.2.3,2021-12-21 17:25:57+00:00,2021-11-15 18:37:15+00:00,35.95048611111111
apache/airflow,56763257,helm-chart/1.4.0,2022-01-10 18:26:40+00:00,2021-12-21 17:25:57+00:00,20.042164351851852
apache/airflow,60167989,2.2.4,2022-02-22 20:36:03+00:00,2022-01-10 18:26:40+00:00,43.08984953703704
apache/airflow,61637122,helm-chart/1.5.0,2022-03-11 20:12:18+00:00,2022-02-22 20:36:03+00:00,16.983506944444443
apache/airflow,63503389,2.2.5,2022-04-04 09:30:39+00:00,2022-03-11 20:12:18+00:00,23.55440972222222
apache/airflow,65746369,2.3.0,2022-05-01 00:37:18+00:00,2022-04-04 09:30:39+00:00,26.629618055555557
apache/airflow,67434562,helm-chart/1.6.0,2022-05-20 22:09:08+00:00,2022-05-01 00:37:18+00:00,19.897106481481483
apache/airflow,67783335,2.3.1,2022-05-25 10:26:20+00:00,2022-05-20 22:09:08+00:00,4.5119444444444445
apache/airflow,68636824,2.3.2,2022-06-04 14:19:24+00:00,2022-05-25 10:26:20+00:00,10.161851851851852
apache/airflow,71627647,2.3.3,2022-07-09 18:29:26+00:00,2022-06-04 14:19:24+00:00,35.17363425925926
apache/airflow,75104415,2.3.4,2022-08-23 14:41:06+00:00,2022-07-09 18:29:26+00:00,44.84143518518518
apache/airflow,77524030,2.4.0,2022-09-19 09:11:49+00:00,2022-08-23 14:41:06+00:00,26.77133101851852
apache/airflow,78733774,2.4.1,2022-09-30 20:44:00+00:00,2022-09-19 09:11:49+00:00,11.480682870370371
apache/airflow,79935067,helm-chart/1.7.0,2022-10-14 15:36:05+00:00,2022-09-30 20:44:00+00:00,13.786168981481481
apache/airflow,80782477,2.4.2,2022-10-24 11:30:50+00:00,2022-10-14 15:36:05+00:00,9.8296875
apache/airflow,82994496,2.4.3,2022-11-14 14:36:31+00:00,2022-10-24 11:30:50+00:00,21.12894675925926
apache/airflow,84841010,2.5.0,2022-12-02 17:24:11+00:00,2022-11-14 14:36:31+00:00,18.116435185185185
apache/airflow,89772516,2.5.1,2023-01-20 20:39:10+00:00,2022-12-02 17:24:11+00:00,49.13540509259259
apache/airflow,91499799,helm-chart/1.8.0,2023-02-06 17:55:31+00:00,2023-01-20 20:39:10+00:00,16.886354166666667
apache/airflow,95635225,2.5.2,2023-03-15 00:40:12+00:00,2023-02-06 17:55:31+00:00,36.281030092592594
apache/airflow,97724092,2.5.3,2023-04-01 09:33:57+00:00,2023-03-15 00:40:12+00:00,17.37065972222222
apache/airflow,99597447,helm-chart/1.9.0,2023-04-14 21:02:23+00:00,2023-04-01 09:33:57+00:00,13.478078703703703
apache/airflow,101405180,2.6.0,2023-04-30 13:06:10+00:00,2023-04-14 21:02:23+00:00,15.66929398148148
apache/airflow,103174412,2.6.1,2023-05-16 14:38:31+00:00,2023-04-30 13:06:10+00:00,16.064131944444444
apache/airflow,108963862,2.6.2,2023-06-17 10:19:05+00:00,2023-05-16 14:38:31+00:00,31.819837962962964
apache/airflow,110074462,helm-chart/1.10.0,2023-06-27 14:34:24+00:00,2023-06-17 10:19:05+00:00,10.177303240740741
apache/airflow,111717340,2.6.3,2023-07-10 23:02:37+00:00,2023-06-27 14:34:24+00:00,13.352928240740741
apache/airflow,117791975,2.7.0,2023-08-18 16:40:16+00:00,2023-07-10 23:02:37+00:00,38.73447916666667
apache/airflow,120326303,2.7.1,2023-09-07 18:08:24+00:00,2023-08-18 16:40:16+00:00,20.061203703703704
apache/airflow,123409179,helm-chart/1.11.0,2023-10-02 23:29:57+00:00,2023-09-07 18:08:24+00:00,25.22329861111111
apache/airflow,124796751,2.7.2,2023-10-12 10:58:32+00:00,2023-10-02 23:29:57+00:00,9.47818287037037
apache/airflow,128072365,2.7.3,2023-11-06 07:14:17+00:00,2023-10-12 10:58:32+00:00,24.844270833333333
apache/airflow,134371717,2.8.0,2023-12-18 19:16:17+00:00,2023-11-06 07:14:17+00:00,42.50138888888889
apache/airflow,137711221,2.8.1,2024-01-19 13:09:58+00:00,2023-12-18 19:16:17+00:00,31.745613425925924
apache/airflow,141561153,helm-chart/1.12.0,2024-02-12 04:30:06+00:00,2024-01-19 13:09:58+00:00,23.63898148148148
apache/airflow,143584450,2.8.2,2024-02-26 09:14:14+00:00,2024-02-12 04:30:06+00:00,14.197314814814815
apache/airflow,144901174,helm-chart/1.13.0,2024-03-05 16:19:06+00:00,2024-02-26 09:14:14+00:00,8.295046296296297
apache/airflow,145826375,2.8.3,2024-03-11 12:53:41+00:00,2024-03-05 16:19:06+00:00,5.857349537037037
apache/airflow,148320674,helm-chart/1.13.1,2024-03-25 19:40:49+00:00,2024-03-11 12:53:41+00:00,14.282731481481482
apache/airflow,148331227,2.8.4,2024-03-25 20:26:18+00:00,2024-03-25 19:40:49+00:00,0.03158564814814815
apache/airflow,150204794,2.9.0,2024-04-08 12:11:00+00:00,2024-03-25 20:26:18+00:00,13.656041666666667
apache/airflow,154380741,2.9.1,2024-05-06 10:30:55+00:00,2024-04-08 12:11:00+00:00,27.930497685185184
apache/airflow,159644151,2.9.2,2024-06-10 10:58:26+00:00,2024-05-06 10:30:55+00:00,35.019108796296294
apache/airflow,161181480,helm-chart/1.14.0,2024-06-19 00:26:03+00:00,2024-06-10 10:58:26+00:00,8.560844907407407
apache/airflow,165625182,2.9.3,2024-07-16 11:30:52+00:00,2024-06-19 00:26:03+00:00,27.461678240740742
apache/airflow,166897846,helm-chart/1.15.0,2024-07-24 12:45:34+00:00,2024-07-16 11:30:52+00:00,8.051875
apache/airflow,170458696,2.10.0,2024-08-16 01:53:36+00:00,2024-07-24 12:45:34+00:00,22.54724537037037
