release_id,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share
39957389,99,71,0.7171717171717171,0.1553398058252427
41671752,82,50,0.6097560975609756,0.17164179104477612
43255616,66,31,0.4696969696969697,0.1568627450980392
45275500,92,53,0.5760869565217391,0.138801261829653
45643358,25,8,0.32,0.17391304347826086
46212130,35,16,0.45714285714285713,0.1917808219178082
46932862,48,26,0.5416666666666666,0.2028985507246377
49398510,132,81,0.6136363636363636,0.19953051643192488
49802204,34,13,0.38235294117647056,0.17857142857142858
50419478,40,16,0.4,0.24770642201834864
51158476,52,18,0.34615384615384615,0.16666666666666666
52360236,85,41,0.4823529411764706,0.12290502793296089
53009948,44,17,0.38636363636363635,0.10256410256410256
53412307,25,7,0.28,0.11904761904761904
55767051,98,48,0.4897959183673469,0.14523809523809525
56763257,75,36,0.48,0.22926829268292684
60167989,112,53,0.4732142857142857,0.195
61637122,87,35,0.40229885057471265,0.1686746987951807
63503389,78,31,0.3974358974358974,0.26521739130434785
65746369,72,33,0.4583333333333333,0.16260162601626016
67434562,65,23,0.35384615384615387,0.225
67783335,23,5,0.21739130434782608,0.275
68636824,41,12,0.2926829268292683,0.2196969696969697
71627647,101,42,0.4158415841584158,0.21693121693121692
75104415,130,63,0.4846153846153846,0.19325842696629214
77524030,69,23,0.3333333333333333,0.22053231939163498
78733774,54,16,0.2962962962962963,0.13513513513513514
79935067,42,12,0.2857142857142857,0.07526881720430108
80782477,27,4,0.14814814814814814,0.2786885245901639
82994496,90,37,0.4111111111111111,0.2591093117408907
84841010,58,22,0.3793103448275862,0.17791411042944785
89772516,123,58,0.4715447154471545,0.21237113402061855
91499799,62,11,0.1774193548387097,0.10344827586206896
95635225,122,50,0.4098360655737705,0.13313609467455623
97724092,52,15,0.28846153846153844,0.171875
99597447,60,22,0.36666666666666664,0.24812030075187969
101405180,52,17,0.3269230769230769,0.30357142857142855
103174412,64,23,0.359375,0.2236024844720497
108963862,84,29,0.34523809523809523,0.19345238095238096
110074462,40,10,0.25,0.13861386138613863
111717340,60,17,0.2833333333333333,0.17857142857142858
117791975,109,41,0.3761467889908257,0.19710669077757687
120326303,71,24,0.3380281690140845,0.1867612293144208
123409179,87,33,0.3793103448275862,0.12062256809338522
124796751,41,17,0.4146341463414634,0.16666666666666666
128072365,89,35,0.39325842696629215,0.25742574257425743
134371717,111,46,0.4144144144144144,0.2803347280334728
137711221,96,36,0.375,0.22702702702702704
141561153,87,32,0.367816091954023,0.24521072796934865
143584450,70,22,0.3142857142857143,0.26540284360189575
144901174,33,7,0.21212121212121213,0.25
145826375,38,8,0.21052631578947367,0.23255813953488372
148320674,51,15,0.29411764705882354,0.2893772893772894
148331227,0,0,,
150204794,50,9,0.18,0.2345132743362832
154380741,81,22,0.2716049382716049,0.14457831325301204
159644151,107,36,0.3364485981308411,0.15550239234449761
161181480,50,16,0.32,0.1348314606741573
165625182,87,33,0.3793103448275862,0.15019762845849802
166897846,43,9,0.20930232558139536,0.16346153846153846
170458696,73,23,0.3150684931506849,0.22033898305084745
173821517,71,23,0.323943661971831,0.11013215859030837
176198865,65,30,0.46153846153846156,0.06993006993006994
183601125,139,63,0.45323741007194246,0.12257100149476831
190940307,111,33,0.2972972972972973,0.0962566844919786
199381500,124,46,0.3709677419354839,0.13248847926267282
209736341,139,59,0.4244604316546763,0.0818268315889629
213942444,81,17,0.20987654320987653,0.12746858168761221
217952121,75,17,0.22666666666666666,0.20770877944325483
219713172,54,11,0.2037037037037037,0.16883116883116883
224349965,85,21,0.24705882352941178,0.14206128133704735
227200324,82,24,0.2926829268292683,0.12012987012987013
232060796,103,33,0.32038834951456313,0.12202852614896989
232316442,12,1,0.08333333333333333,0.3125
238719377,112,34,0.30357142857142855,0.09523809523809523
241324139,70,14,0.2,0.12272727272727273
243522727,57,8,0.14035087719298245,0.1125
250088226,104,29,0.27884615384615385,0.07692307692307693
257461859,138,51,0.3695652173913043,0.10420168067226891
259964514,71,11,0.15492957746478872,0.10267857142857142
262457040,66,13,0.19696969696969696,0.11203319502074689
269035834,117,37,0.3162393162393162,0.1506276150627615
276315192,136,55,0.40441176470588236,0.0674373795761079
276530798,14,2,0.14285714285714285,0.17647058823529413
282931220,115,33,0.28695652173913044,0.05585106382978723
287396789,91,23,0.25274725274725274,0.07924528301886792
290595792,77,24,0.3116883116883117,0.06432748538011696
295900925,110,29,0.2636363636363636,0.1353211009174312
298892967,92,21,0.22826086956521738,0.1388888888888889
299977257,30,2,0.06666666666666667,0.1935483870967742
306141963,106,32,0.3018867924528302,0.11666666666666667
312131648,94,17,0.18085106382978725,0.2375
313416734,31,8,0.25806451612903225,0.09433962264150944
331316417,194,87,0.4484536082474227,0.1391304347826087
333981785,57,16,0.2807017543859649,0.13986013986013987
334088828,93,22,0.23655913978494625,0.10266159695817491
349639355,126,31,0.24603174603174602,0.08951965065502183
