repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count
microsoft/vscode,37367812,,False,1,0.0,0.0,,,,0.0,0.0,,,4287,1027,2021-02-04 17:41:43+00:00,445.0,1.0,381.0,True,,0
microsoft/vscode,37817301,5.027152777777777,False,2,238.0,38.0,0.6842105263157895,184.99920940170935,21.989583333333332,32.0,5.0,0.15625,0.1470588235294117,4376,1056,2021-02-09 18:20:49+00:00,414.0,1.0,381.0,True,,0
microsoft/vscode,37943605,2.1083101851851853,False,3,190.0,29.0,0.8620689655172413,69.54641111111111,4.375,25.0,1.0,0.04,0.1526315789473684,4416,1048,2021-02-11 20:56:47+00:00,409.0,1.0,381.0,True,,0
microsoft/vscode,39294083,20.892905092592592,False,4,1137.0,133.0,0.7443609022556391,160.46172278338946,30.011388888888888,54.0,23.0,0.4259259259259259,0.1204925241864555,4569,1103,2021-03-04 18:22:34+00:00,386.0,1.0,381.0,True,,0
microsoft/vscode,39312361,0.2458217592592592,False,5,19.0,4.0,1.0,9.793263888888887,9.845555555555555,8.0,0.0,0.0,0.2105263157894736,4577,1102,2021-03-05 00:16:33+00:00,382.0,1.0,381.0,True,,0
microsoft/vscode,39688865,6.992835648148148,False,6,368.0,67.0,0.7313432835820896,56.05113378684807,15.114444444444445,43.0,10.0,0.2325581395348837,0.1902173913043478,4664,1116,2021-03-12 00:06:14+00:00,397.0,1.0,381.0,True,429.5,2
microsoft/vscode,39843725,3.879259259259259,False,7,102.0,23.0,0.5217391304347826,692.5941435185185,43.26972222222222,20.0,4.0,0.2,0.1862745098039215,4725,1132,2021-03-15 21:12:22+00:00,438.0,1.0,381.0,True,422.6666666666667,3
microsoft/vscode,40776715,15.87025462962963,False,8,871.0,123.0,0.8048780487804879,183.23116161616164,15.821111111111112,50.0,13.0,0.26,0.1182548794489093,4812,1162,2021-03-31 18:05:32+00:00,510.0,1.0,381.0,True,422.6666666666667,3
microsoft/vscode,41141564,8.013796296296297,False,9,437.0,70.0,0.7,214.4706349206349,44.03861111111111,42.0,10.0,0.238095238095238,0.1556064073226544,4908,1175,2021-04-08 18:25:24+00:00,514.0,1.0,381.0,True,407.2,5
microsoft/vscode,41368481,4.944930555555556,False,10,251.0,29.0,0.8620689655172413,256.6360666666667,22.600833333333334,28.0,2.0,0.0714285714285714,0.1593625498007968,5019,1226,2021-04-13 17:06:06+00:00,495.0,1.0,381.0,True,405.5,6
