model,precision,recall,f1,accuracy
logistic_regression_C=0.001,0.9166666666666666,0.4852941176470588,0.6346153846153846,0.6576576576576577
elastic_net,0.8,0.058823529411764705,0.1095890410958904,0.4144144144144144
recency_weighted_logistic,0.0,0.0,0.0,0.38738738738738737
naive_bayes,0.5,0.014705882352941176,0.02857142857142857,0.38738738738738737
decision_tree,0.20833333333333334,0.07352941176470588,0.10869565217391304,0.26126126126126126
random_forest,0.0,0.0,0.0,0.38738738738738737
gradient_boosting,1.0,0.014705882352941176,0.028985507246376812,0.3963963963963964
