release_id,repository_name,split,shap_cycle_length_days,shap_release_sequence,shap_commit_count,shap_pr_count,shap_pct_merged,shap_avg_time_to_merge_hours,shap_median_time_to_merge_hours,shap_distinct_contributors,shap_first_time_contributor_count,shap_first_time_contributor_share,shap_top_contributor_share,shap_open_bugs_at_release_repo_z,shap_prior_releases_avg_bugs_repo_z,shap_had_commit_activity,shap_had_pr_activity,shap_has_prior_release_history,shap_has_prior_release,shap_repo_kubernetes/kubernetes,shap_repo_microsoft/vscode,shap_base_value,shap_sum_plus_base
36351013,kubernetes/kubernetes,train,-0.0035251738726465357,0.09460454101623636,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.012734027946632394,-0.06377356705065915,0.016123186075228207,0.03361497085955178,0.28730050447960015,0.2528394005569995,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.5311139773884479
36351486,kubernetes/kubernetes,train,-0.0035379030657462637,0.09343580378164514,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.013017912964265233,-0.06377356705065915,0.016123186075228207,0.03361497085955178,0.28730050447960015,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.27507845541632653
36351831,kubernetes/kubernetes,train,-0.0035381665563322933,0.0922670665470539,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.013017912964265233,-0.06377356705065915,0.016123186075228207,0.03361497085955178,0.28730050447960015,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.27390945469114925
36352135,kubernetes/kubernetes,train,-0.003538344690812989,0.09109832931246267,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.013017912964265233,-0.06377356705065915,0.016123186075228207,0.03361497085955178,0.28730050447960015,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.2727405393220773
38191304,kubernetes/kubernetes,train,0.0076996178705793835,0.08642338037409773,0.02236889107804172,0.011909080842235738,0.005875656414951915,-0.0006070185553904893,0.00029760436840289606,0.020227066852776147,0.1319690852443767,0.06041253586554842,0.0037015287481259474,0.009895177770303989,0.14213278995464693,-0.0038359996610208376,-0.009771793854520868,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.41566679884654206
38191357,kubernetes/kubernetes,train,-0.00353974007757844,0.08525464313950651,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.009895177770303989,0.14213278995464693,0.016123186075228207,0.03361497085955178,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.17348382263343168
38191467,kubernetes/kubernetes,train,-0.003539469164722382,0.08408590590491527,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.009895177770303989,0.14213278995464693,0.016123186075228207,0.03361497085955178,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.1723153563116965
38251599,kubernetes/kubernetes,train,-0.003231333624468616,0.08291716867032405,-0.01037326597245451,-0.002414403483857677,-0.0002892300658809557,0.0009187393387542048,-0.002423972124896024,-0.002621384215716575,-0.005361244088052802,0.01921474767700477,0.002541726451587831,0.009895177770303989,0.14213278995464693,-0.0038359996610208376,-0.009771793854520868,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.14426691830513969
40026670,kubernetes/kubernetes,train,0.005434181478924198,0.07941095696655033,0.02978120350478272,0.01276588224535706,0.005882664458344555,-0.003718758505207222,0.00031308714934206165,0.023255174825708918,0.10373294276481176,0.036356134843084975,0.0033357108074205206,0.012166257911366711,0.1453434839567253,-0.0038359996610208376,-0.009771793854520868,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.36742032442505695
40026943,kubernetes/kubernetes,train,-0.003538704670909396,0.07824221973195909,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.012166257911366711,0.1453434839567253,0.016123186075228207,0.03361497085955178,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.1719542087756944
40027219,kubernetes/kubernetes,train,-0.0035387269377194826,0.07707348249736787,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.012166257911366711,0.1453434839567253,0.016123186075228207,0.03361497085955178,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.17078544927429312
41140171,kubernetes/kubernetes,train,0.003171699150740556,0.07473600802818539,-0.0003479801003156004,0.004141989861766357,0.013097289425365947,-0.00460179079559393,-0.0014562373795603456,0.009353406404517563,0.025441820435108956,0.014386227892700052,0.0033305936546049538,0.014437338052429435,0.17610816059871306,-0.0038359996610208376,-0.009771793854520868,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.24515992724650743
41456484,kubernetes/kubernetes,train,-0.0014663400783834688,0.07356727079359417,-0.006320490832653675,-0.00010476491892193751,0.010097725843905758,-0.0026588766659163994,-0.0008453037109622232,0.0028842666441611896,0.002339522042737637,0.003704257601257335,0.0026762417612332143,0.008759637699772624,0.17610816059871306,-0.0038359996610208376,-0.009771793854520868,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.18210270879638238
41456496,kubernetes/kubernetes,train,-0.0035397809000636,0.07239853355900293,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.008759637699772624,0.17610816059871306,0.016123186075228207,0.03361497085955178,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.19346750280397768
41457093,kubernetes/kubernetes,train,-0.003534804268009158,0.07122979632441169,-0.011919719644220618,-0.0031035698298465665,0.006039622659986339,-0.0022793327472482084,0.0001699859865338954,-0.005649492188649345,-0.014345471240641647,-0.00741282656803171,0.0015344029505038033,0.008759637699772624,0.17610816059871306,0.016123186075228207,0.03361497085955178,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.19230374220144086
42867664,kubernetes/kubernetes,train,0.005315295268734759,0.06889232185522923,0.00855746000950992,0.007960343940893991,0.006420615217817687,-0.002921291596060543,-4.023078917728218e-05,0.019125936680800593,0.06522911211085955,0.022968938368011498,0.003681953881003782,0.012450142928999553,0.1381698318989416,-0.0038359996610208376,-0.009771793854520868,-0.008894752460668733,-0.002298540005063637,0.00017405528007958385,0.00018235048415890032,-0.06219391776511934,0.26917183179340937
