threshold,precision,recall,f1,f2,accuracy,n_predicted_positive
0.05,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.060000000000000005,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.07,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.08000000000000002,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.09000000000000001,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.1,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.11000000000000001,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.12000000000000001,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.13,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.14,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.15000000000000002,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.16000000000000003,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.17000000000000004,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.18000000000000005,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.19,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.2,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.21000000000000002,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.22000000000000003,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.23000000000000004,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.24000000000000005,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.25000000000000006,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.26000000000000006,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.27,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.28,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.29000000000000004,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.30000000000000004,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.31000000000000005,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.32000000000000006,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.33,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.34,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.35000000000000003,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.36000000000000004,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.37000000000000005,0.1926605504587156,1.0,0.3230769230769231,0.544041450777202,0.2072072072072072,109
0.38000000000000006,0.2,1.0,0.3333333333333333,0.5555555555555556,0.24324324324324326,105
0.39000000000000007,0.21649484536082475,1.0,0.3559322033898305,0.5801104972375691,0.3153153153153153,97
0.4000000000000001,0.2692307692307692,1.0,0.42424242424242425,0.6481481481481481,0.4864864864864865,78
0.4100000000000001,0.3230769230769231,1.0,0.4883720930232558,0.7046979865771813,0.6036036036036037,65
0.42000000000000004,0.3442622950819672,1.0,0.5121951219512195,0.7241379310344828,0.6396396396396397,61
0.43000000000000005,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,0.6756756756756757,57
0.44000000000000006,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,0.6756756756756757,57
0.45000000000000007,0.38,0.9047619047619048,0.5352112676056338,0.708955223880597,0.7027027027027027,50
0.4600000000000001,0.5333333333333333,0.7619047619047619,0.6274509803921569,0.7017543859649122,0.8288288288288288,30
0.4700000000000001,0.4444444444444444,0.38095238095238093,0.41025641025641024,0.39215686274509803,0.7927927927927928,18
0.4800000000000001,0.8,0.19047619047619047,0.3076923076923077,0.22471910112359547,0.8378378378378378,5
0.49000000000000005,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.11494252873563215,0.8198198198198198,3
0.5000000000000001,1.0,0.047619047619047616,0.09090909090909091,0.058823529411764705,0.8198198198198198,1
0.5100000000000001,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5200000000000001,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5300000000000001,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5400000000000001,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5500000000000002,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5600000000000002,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5700000000000002,0.0,0.0,0.0,0.0,0.8108108108108109,0
0.5800000000000002,0.0,0.0,0.0,0.0,0.8108108108108109,0
