threshold,precision,recall,f1,f2,accuracy,n_predicted_positive
0.15,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.2,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.25,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.3,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.35,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615385,0.1891891891891892,111
0.4,0.2692307692307692,1.0,0.42424242424242425,0.6481481481481481,0.4864864864864865,78
0.43,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,0.6756756756756757,57
0.5,1.0,0.047619047619047616,0.09090909090909091,0.058823529411764705,0.8198198198198198,1
