model,point_estimate_roc_auc,bootstrap_mean,ci_low_95,ci_high_95,n_valid_bootstrap_iters
logistic_regression,0.9285225718194255,0.9281710079636049,0.8492156802706079,0.988489503328213,2000
recency_weighted_logistic,0.9196306429548564,0.9192592652884537,0.8311421040812227,0.98576081844961,2000
elastic_net,0.9329685362517101,0.9326523318639909,0.856809750717663,0.9902792455742545,2000
