fold,n_train,n_val,train_end_date,val_start_date,val_end_date,train_positive_rate,val_positive_rate,roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1
1,95,92,2021-12-16,2021-12-21,2022-12-08,0.631578947368421,0.10869565217391304,0.4597560975609756,0.1335674047804417,0.24648154094220617,0.782608695652174,0.1875,0.3,0.23076923076923078
2,187,92,2022-12-08,2022-12-08,2023-11-06,0.37433155080213903,0.10869565217391304,0.524390243902439,0.15021918556808742,0.21918421682171485,0.8804347826086957,0.0,0.0,0.0
3,279,92,2023-11-06,2023-11-15,2024-10-23,0.2867383512544803,0.021739130434782608,0.8666666666666667,0.13095238095238093,0.20741428785131513,0.967391304347826,0.0,0.0,0.0
4,371,92,2024-10-23,2024-10-29,2025-09-25,0.2210242587601078,0.32608695652173914,0.8919354838709678,0.7311400537454642,0.20615028390613163,0.6847826086956522,0.6666666666666666,0.06666666666666667,0.12121212121212122
5,463,92,2025-09-25,2025-09-26,2026-06-17,0.24190064794816415,0.6195652173913043,0.9413533834586466,0.9092342614431899,0.170180629083992,0.9565217391304348,0.9344262295081968,1.0,0.9661016949152542
