repository_name,n_releases,elevated_risk_rate,avg_commit_count,avg_pr_count,avg_distinct_contributors,avg_cycle_length_days
apache/airflow,58,0.25862068965517243,225.4655172413793,266.62068965517244,67.60344827586206,21.287636494252872
kubernetes/kubernetes,167,0.23353293413173654,93.50299401197604,111.77245508982035,33.05988023952096,7.290998142603682
microsoft/vscode,108,0.24074074074074073,423.537037037037,197.74074074074073,39.129629629629626,11.33442226080247
