release_id,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share
37817301,32,5,0.15625,0.14705882352941177
37943605,25,1,0.04,0.15263157894736842
39294083,54,23,0.42592592592592593,0.12049252418645559
39312361,8,0,0.0,0.21052631578947367
39688865,43,10,0.23255813953488372,0.19021739130434784
39843725,20,4,0.2,0.18627450980392157
40776715,50,13,0.26,0.1182548794489093
41141564,42,10,0.23809523809523808,0.15560640732265446
41368481,28,2,0.07142857142857142,0.1593625498007968
42503695,57,20,0.3508771929824561,0.1821917808219178
42788476,33,4,0.12121212121212122,0.14454277286135694
42914761,23,2,0.08695652173913043,0.2
44431897,65,23,0.35384615384615387,0.09980928162746344
44831232,41,3,0.07317073170731707,0.13010204081632654
45923262,57,18,0.3157894736842105,0.17682317682317683
46137151,31,3,0.0967741935483871,0.2
46269305,23,2,0.08695652173913043,0.2125984251968504
47380908,59,16,0.2711864406779661,0.09622886866059818
48147681,42,8,0.19047619047619047,0.11568627450980393
48909216,51,19,0.37254901960784315,0.12224448897795591
49545491,44,8,0.18181818181818182,0.1601123595505618
50724198,50,13,0.26,0.10646900269541779
50995570,23,2,0.08695652173913043,0.16483516483516483
51383547,34,8,0.23529411764705882,0.14007782101167315
51646803,28,6,0.21428571428571427,0.18791946308724833
52713427,56,15,0.26785714285714285,0.13479623824451412
53026736,34,7,0.20588235294117646,0.12093023255813953
53207412,24,1,0.041666666666666664,0.20710059171597633
53665953,31,5,0.16129032258064516,0.16228070175438597
54908167,52,12,0.23076923076923078,0.14693295292439373
55299055,28,3,0.10714285714285714,0.13978494623655913
55479840,22,3,0.13636363636363635,0.15625
58631352,69,26,0.37681159420289856,0.1425462459194777
59039716,35,7,0.2,0.13545816733067728
59258028,26,4,0.15384615384615385,0.13580246913580246
60929829,54,11,0.2037037037037037,0.10640870616686819
61302351,27,5,0.18518518518518517,0.13986013986013987
61529769,23,1,0.043478260869565216,0.17543859649122806
63185929,61,16,0.26229508196721313,0.11872586872586872
63892925,42,9,0.21428571428571427,0.1881720430107527
64270464,26,1,0.038461538461538464,0.23622047244094488
66150183,51,8,0.1568627450980392,0.1588628762541806
66499794,26,1,0.038461538461538464,0.12781954887218044
67208072,30,2,0.06666666666666667,0.1752136752136752
69088479,55,19,0.34545454545454546,0.13490725126475547
69548231,34,4,0.11764705882352941,0.1368421052631579
71502038,58,12,0.20689655172413793,0.14732142857142858
71824091,29,3,0.10344827586206896,0.30409356725146197
72267785,32,3,0.09375,0.18888888888888888
73681305,60,17,0.2833333333333333,0.08985024958402663
74130772,40,7,0.175,0.19736842105263158
74651367,28,2,0.07142857142857142,0.11494252873563218
76071146,44,6,0.13636363636363635,0.14980544747081712
