model,train,validation,test
decision_tree,0.9902667984189722,0.7060846560846562,0.2995896032831737
elastic_net,0.8782608695652174,0.8417989417989418,0.93296853625171
gradient_boosting,0.9897233201581028,0.7031746031746032,0.521374829001368
logistic_regression_C=0.001,0.8618577075098814,0.8619047619047618,0.9285225718194255
naive_bayes,0.8565217391304348,0.8296296296296295,0.9199726402188784
partial_pooling_apache/airflow,,,0.7916666666666666
random_forest,1.0,0.7788359788359788,0.4649452804377565
recency_weighted_logistic,0.8340415019762846,0.8343915343915344,0.9196306429548564
repo_specific_apache/airflow,,,0.5694444444444444
